Specie	Time	Index	Thesis	X449.35	X452.25	X455.16	X458.06	X460.96	X463.87	X466.77	X469.68	X472.59	X475.50	X478.41	X481.32	X484.23	X487.14	X490.06	X492.97	X495.89	X498.80	X501.72	X504.64	X507.56	X510.48	X513.40	X516.33	X519.25	X522.18	X525.10	X528.03	X530.96	X533.89	X536.82	X539.75	X542.68	X545.62	X548.55	X551.49	X554.43	X557.36	X560.30	X563.24	X566.18	X569.12	X572.07	X575.01	X577.96	X580.90	X583.85	X586.80	X589.75	X592.70	X595.65	X598.60	X601.55	X604.51	X607.46	X610.42	X613.38	X616.34	X619.30	X622.26	X625.22	X628.18	X631.15	X634.11	X637.08	X640.04	X643.01	X645.98	X648.95	X651.92	X654.89	X657.87	X660.84	X663.81	X666.79	X669.77	X672.75	X675.73	X678.71	X681.69	X684.67	X687.65	X690.64	X693.62	X696.61	X699.60	X702.58	X705.57	X708.57	X711.56	X714.55	X717.54	X720.54	X723.53	X726.53	X729.53	X732.53	X735.53	X738.53	X741.53	X744.53	X747.54	X750.54	X753.55	X756.56	X759.56	X762.57	X765.58	X768.60	X771.61	X774.62	X777.64	X780.65	X783.67	X786.68	X789.70	X792.72
Barely	16/05/2025 08:12:18	1.0	 -Fe +N	0.1558737	0.1581509	0.1597233	0.1601113	0.1616388	0.1625402	0.162603	0.1648631	0.1655168	0.1688287	0.1687116	0.16944	0.1702543	0.1726892	0.1753832	0.1772348	0.1857149	0.1939453	0.2064047	0.2203501	0.2359378	0.2542221	0.2729929	0.292974	0.3103929	0.3262915	0.3409208	0.3519538	0.3574511	0.3647173	0.3713958	0.3749965	0.3789718	0.3822517	0.3849295	0.3866999	0.3880897	0.3878601	0.3870464	0.3855111	0.382246	0.3784308	0.3743551	0.3707124	0.3686612	0.3648074	0.3614527	0.3594355	0.357143	0.3557854	0.3544976	0.3530285	0.351492	0.349684	0.3458985	0.3420033	0.3390457	0.3342423	0.3317226	0.3281628	0.3276648	0.3268748	0.3255749	0.3233215	0.319369	0.3133374	0.3053273	0.298752	0.2906239	0.2833032	0.2756733	0.2668574	0.2546028	0.2400409	0.2247921	0.2122124	0.2040981	0.1994513	0.2001599	0.2107474	0.2377628	0.2773994	0.3214274	0.3571807	0.3837394	0.4034495	0.4149799	0.4233296	0.4290057	0.4333008	0.4360396	0.4393719	0.4408482	0.4424114	0.4442156	0.4450932	0.4461244	0.4460153	0.4485332	0.4471583	0.4475056	0.4481611	0.447412	0.4472798	0.4464184	0.4467621	0.4461669	0.4451643	0.4447988	0.4455786	0.446276	0.4463423	0.4471948	0.4461932	0.4452548	0.4471863	0.4450089
Barely	16/05/2025 08:12:39	2.0	 -Fe +N	0.2059471	0.2086749	0.2105738	0.21031	0.2138027	0.2151955	0.2179706	0.2204782	0.2247447	0.2274376	0.2293041	0.2304443	0.2313188	0.2330561	0.2371465	0.2399892	0.2489371	0.2573611	0.269825	0.2840464	0.3002116	0.3181292	0.3363483	0.3535393	0.371245	0.3856869	0.3977857	0.4064961	0.4121795	0.4189108	0.4235731	0.4273161	0.4303701	0.4329473	0.4347261	0.435535	0.436424	0.4365474	0.4366868	0.436172	0.4347188	0.4326595	0.4302295	0.4280539	0.4267137	0.4251198	0.4232797	0.4222126	0.4207004	0.4204466	0.4194088	0.4183405	0.4187703	0.4165378	0.4144137	0.4113229	0.4091898	0.4062773	0.4035436	0.4020926	0.4007612	0.4001339	0.3999307	0.3990765	0.39721	0.3951498	0.3923056	0.3887144	0.3832939	0.3775618	0.3715109	0.3623372	0.3489298	0.3338144	0.3196686	0.3064926	0.2980067	0.2946953	0.2956034	0.3058778	0.3299246	0.3601522	0.3898535	0.4131697	0.4289716	0.4399011	0.4471797	0.4514422	0.454078	0.4577028	0.4582736	0.4600527	0.4602039	0.4620218	0.4630169	0.4633811	0.463772	0.4645174	0.4650548	0.4644456	0.4651788	0.4637352	0.4624334	0.4628527	0.4634798	0.4629048	0.462874	0.4612403	0.4619402	0.462188	0.4623372	0.4627136	0.4638317	0.4625149	0.4616678	0.4632495	0.4632334
Barely	16/05/2025 08:12:49	3.0	 -Fe +N	0.2165198	0.2187527	0.2211981	0.2215002	0.2241495	0.227171	0.2311672	0.2329818	0.2360982	0.2390727	0.2416285	0.2420796	0.2437795	0.245789	0.2499354	0.2527986	0.2613466	0.2709334	0.2842411	0.300306	0.3173196	0.3358634	0.3561239	0.3748632	0.3923281	0.4086256	0.4208357	0.4306256	0.4369057	0.4427113	0.4485062	0.452694	0.4558305	0.4584225	0.4603069	0.4619691	0.4624538	0.4640169	0.4623195	0.460567	0.4606162	0.4585334	0.4563369	0.4543162	0.4521107	0.4499681	0.4484888	0.4469621	0.4457156	0.4452321	0.4454103	0.4433157	0.4430973	0.4403459	0.439457	0.4364214	0.4333557	0.4308222	0.4283935	0.42602	0.4250461	0.4241625	0.4237876	0.4227111	0.4210405	0.4183339	0.4144681	0.4115799	0.4070252	0.4006537	0.3935475	0.3832611	0.3698025	0.3538078	0.3376618	0.3247374	0.3153708	0.3119035	0.3126065	0.3241348	0.3485032	0.38133	0.4128488	0.4375833	0.4544787	0.4655595	0.4731568	0.4788115	0.4818891	0.4843874	0.4857795	0.4883877	0.4897438	0.4892003	0.4910959	0.4911136	0.4919237	0.4926012	0.4928433	0.4932173	0.4923492	0.4918771	0.4916389	0.4913734	0.4904338	0.4903761	0.4906166	0.4897564	0.4895094	0.4887682	0.4893696	0.4893516	0.490456	0.4903047	0.4888224	0.490252	0.489967
Barely	16/05/2025 08:13:13	4.0	 -Fe +N	0.1479442	0.1525899	0.1530498	0.1539617	0.1545113	0.1557264	0.15552	0.1567935	0.1580051	0.1582059	0.1598072	0.160627	0.1631724	0.1647846	0.1691863	0.1738366	0.1810993	0.1924778	0.2059754	0.2230976	0.2415919	0.2621465	0.2841735	0.305048	0.3266861	0.3441951	0.3603863	0.3719887	0.3784569	0.3867633	0.3921258	0.3955259	0.3996103	0.4022748	0.4045919	0.4065269	0.4066365	0.4061018	0.4044336	0.4006219	0.396241	0.3902227	0.3841705	0.3773306	0.3739718	0.3689917	0.364621	0.3601281	0.3566933	0.3543366	0.352708	0.3507236	0.3488637	0.3455793	0.3421412	0.3365546	0.3307954	0.3259273	0.3209891	0.3172302	0.3147069	0.3142754	0.3120188	0.3089676	0.3023522	0.2934027	0.2845174	0.278207	0.2674926	0.2601067	0.2533199	0.2430456	0.2292158	0.2139142	0.1979392	0.185995	0.1772007	0.1732478	0.1739912	0.1842182	0.2103623	0.250436	0.298846	0.3446776	0.3822799	0.4113567	0.4319714	0.4462993	0.4578616	0.4666932	0.4735424	0.4797818	0.4846099	0.4879026	0.4923217	0.4926591	0.4960297	0.4970263	0.4990517	0.499382	0.5001437	0.5014476	0.5004055	0.5004025	0.5002468	0.4997055	0.4990811	0.4978205	0.4986467	0.4975875	0.4989208	0.4981887	0.4993897	0.4990896	0.4979065	0.4991456	0.4995555
Barely	16/05/2025 08:13:25	5.0	 -Fe +N	0.1421439	0.1457377	0.145782	0.148612	0.1474425	0.1488845	0.1482272	0.1486192	0.1500761	0.1495088	0.1504136	0.1503653	0.1515587	0.1529871	0.1571298	0.1612121	0.1681419	0.1781563	0.1894169	0.2039653	0.2202524	0.2394106	0.2589216	0.2774721	0.2966157	0.31305	0.3280864	0.3392064	0.3451948	0.3528198	0.3573802	0.3611061	0.3632927	0.3662555	0.367633	0.369119	0.3693917	0.3683117	0.3654304	0.3614434	0.3568726	0.3495519	0.342175	0.3355104	0.3324928	0.3269051	0.3228551	0.3181718	0.3149694	0.3119034	0.3104499	0.3082866	0.3068802	0.3040554	0.300531	0.2952399	0.2904804	0.2849482	0.2810174	0.2784092	0.2757725	0.2756948	0.2740521	0.27053	0.264795	0.2561945	0.2463885	0.2398619	0.2306189	0.2242314	0.2187239	0.2117076	0.2012404	0.1905836	0.179596	0.1712152	0.1659032	0.1649451	0.1681786	0.1778525	0.199865	0.234621	0.2765234	0.3219848	0.3599241	0.3918801	0.4151026	0.432654	0.4450783	0.4574282	0.4670218	0.4738885	0.480249	0.4867129	0.4916798	0.4943333	0.4988264	0.4995664	0.5021898	0.5033105	0.5041878	0.5033099	0.5035553	0.5031539	0.5029735	0.5018355	0.5029065	0.4999913	0.5007709	0.500305	0.5011962	0.5009988	0.4997611	0.4999924	0.4998704	0.5000036	0.5005715
Barely	16/05/2025 08:13:39	6.0	 -Fe +N	0.1021292	0.1046567	0.1069825	0.1065854	0.1065413	0.1066385	0.1065654	0.1055284	0.1065453	0.1058703	0.105627	0.1065195	0.1061146	0.1079974	0.1104003	0.1140275	0.1195842	0.1265525	0.1361153	0.1484307	0.1629459	0.1798264	0.1970817	0.216394	0.2345992	0.2522852	0.2675182	0.2795611	0.2860005	0.2933287	0.297981	0.3007028	0.3026861	0.3049494	0.3058976	0.307153	0.3061904	0.3035519	0.3008921	0.2946497	0.2875347	0.2789459	0.2698315	0.2612792	0.2559752	0.2493369	0.2439742	0.2384479	0.2349994	0.2316053	0.2290045	0.2277939	0.2252948	0.2216695	0.2171271	0.2119583	0.2070027	0.2009706	0.1972599	0.1933377	0.191893	0.1902855	0.1893808	0.1865623	0.1807823	0.1721363	0.1647547	0.1580496	0.1509435	0.1446937	0.1410629	0.1352942	0.1281314	0.1193891	0.1128549	0.1071589	0.1044633	0.1054504	0.1082355	0.1147446	0.1296026	0.1538416	0.1882663	0.2289842	0.2692087	0.3070348	0.3385998	0.3635625	0.3851061	0.4026456	0.4196708	0.4338832	0.4460421	0.457518	0.4679804	0.4743282	0.4806312	0.4861647	0.4913346	0.4941949	0.4942356	0.4964195	0.4967201	0.4966732	0.4954638	0.494289	0.4939937	0.4930003	0.4926832	0.4915505	0.4933263	0.4925453	0.4915406	0.4918099	0.4918072	0.4929621	0.49365
Barely	16/05/2025 08:13:54	7.0	 -Fe +N	0.1491189	0.1537709	0.1546936	0.1553151	0.157261	0.159593	0.1594083	0.1608562	0.1618216	0.1636059	0.1621536	0.1628505	0.1657703	0.1669496	0.171608	0.1764429	0.1836514	0.1940098	0.2073841	0.2227252	0.239841	0.2596429	0.2792733	0.2995168	0.3180843	0.3357531	0.3490503	0.3591301	0.3649808	0.3728328	0.3768137	0.379492	0.3827345	0.3839866	0.3860296	0.3870338	0.3871904	0.3871405	0.3852325	0.3821425	0.3779408	0.3725302	0.3662605	0.3614174	0.3583464	0.3537758	0.3493378	0.3459881	0.3433884	0.3407114	0.3395123	0.3378585	0.3364776	0.3331507	0.3297535	0.325212	0.3205478	0.314924	0.3106405	0.308535	0.306038	0.3056031	0.3042602	0.3013161	0.2958361	0.2890409	0.2803437	0.2744432	0.2651128	0.2579575	0.2512747	0.242089	0.2295912	0.2154776	0.202044	0.1902164	0.1822459	0.180285	0.1824317	0.1922319	0.2178397	0.2551963	0.2988988	0.3401506	0.3734947	0.3981413	0.4156258	0.4262999	0.4348377	0.4427595	0.4479546	0.4524868	0.4567381	0.4596063	0.463425	0.4644973	0.4666256	0.4674825	0.4687232	0.4693248	0.4692549	0.4706895	0.4694032	0.4687091	0.4684233	0.4672976	0.4669933	0.4656899	0.4660024	0.4651988	0.4654311	0.4654091	0.4653871	0.4657602	0.4653911	0.4666568	0.4653289
Barely	16/05/2025 08:14:21	8.0	 -Fe +N	0.1540382	0.1564937	0.1590499	0.1581079	0.161123	0.162523	0.1641114	0.1632078	0.1660668	0.1670507	0.1686395	0.1696238	0.1702262	0.17267	0.1765541	0.1805982	0.1868678	0.1972838	0.2094084	0.2229261	0.2392938	0.2552822	0.2743537	0.2918119	0.3081238	0.3221739	0.3338764	0.3428871	0.3481313	0.3540869	0.3579515	0.361284	0.3635765	0.366281	0.3678806	0.3694395	0.3696342	0.36928	0.3685558	0.3668216	0.3646622	0.3605356	0.3566817	0.3526406	0.3506713	0.3476357	0.3444813	0.3425356	0.3402774	0.3381116	0.3378257	0.3367534	0.3357804	0.333216	0.3312554	0.3265951	0.3220882	0.3183788	0.314873	0.3131731	0.3128341	0.3112924	0.3100848	0.308646	0.3049264	0.2994808	0.2929555	0.2883946	0.280507	0.2741921	0.2675501	0.2582287	0.2462161	0.2316828	0.2172572	0.2061614	0.19896	0.1972763	0.1991355	0.2098426	0.2344796	0.2714993	0.3112778	0.3457041	0.3709752	0.3892537	0.4011148	0.4099362	0.4156967	0.4210552	0.4234707	0.4269191	0.4290402	0.4310663	0.432885	0.4334593	0.434947	0.4356634	0.4365974	0.4361864	0.4356012	0.4358821	0.436387	0.435102	0.4343136	0.4329989	0.4335848	0.4327589	0.4325887	0.4329036	0.4325229	0.4323191	0.4337382	0.4337504	0.4338456	0.4339041	0.4333884
Barely	16/05/2025 08:14:31	9.0	 -Fe +N	0.1504405	0.1531375	0.1549858	0.1560014	0.1565626	0.1586704	0.1587304	0.159271	0.1596519	0.1599132	0.1590281	0.1595348	0.1612478	0.1640659	0.1689242	0.1741512	0.1834691	0.1948642	0.2092236	0.2260026	0.2457503	0.2663998	0.287316	0.3099017	0.3312721	0.3486041	0.3649974	0.3758467	0.3823017	0.388993	0.394104	0.3974236	0.4001659	0.4015113	0.4039635	0.4043909	0.4044101	0.4029954	0.4000665	0.3955339	0.3901706	0.3828058	0.3746756	0.3667633	0.3624967	0.3576181	0.3520391	0.3474125	0.3439818	0.3407569	0.3394817	0.336615	0.3345382	0.3315915	0.3274699	0.321552	0.3156905	0.3105487	0.3055415	0.3013253	0.2998157	0.2988387	0.296399	0.2933804	0.2863942	0.2785028	0.2687602	0.2616521	0.2525036	0.2452891	0.2377358	0.2288574	0.2174211	0.2040227	0.1914644	0.1817123	0.1764578	0.1754652	0.1789152	0.1894529	0.2141562	0.2509179	0.2984485	0.344724	0.3850091	0.4188399	0.4421821	0.4604818	0.4749872	0.4855396	0.4955185	0.5047449	0.5098788	0.5169064	0.5214308	0.524942	0.5293712	0.5303989	0.5328801	0.5346914	0.5341843	0.5343032	0.5335613	0.5335515	0.5328006	0.5320712	0.5315892	0.5305111	0.5302097	0.5293186	0.5295665	0.5298108	0.5296051	0.5299382	0.527402	0.5306058	0.5294006
Barely	16/05/2025 08:14:44	10.0	 -Fe +N	0.1530837	0.1565346	0.158023	0.1600624	0.1604778	0.1633235	0.1634377	0.1643306	0.1638957	0.1637206	0.163705	0.1643555	0.16575	0.1695451	0.1753733	0.1811656	0.1900973	0.2029124	0.2182486	0.2355731	0.2539943	0.275986	0.2969013	0.3180579	0.3368152	0.3536131	0.366949	0.3779534	0.3830855	0.3887772	0.3935426	0.3969641	0.398625	0.4005723	0.4023193	0.4027231	0.4036538	0.4018621	0.399275	0.395494	0.3912979	0.3852479	0.3784798	0.3724559	0.3688028	0.3635133	0.3596872	0.3556939	0.3521179	0.3502685	0.3482435	0.3466814	0.3449263	0.3414877	0.3384419	0.3336573	0.3287194	0.323724	0.3193003	0.3155022	0.3144652	0.3128389	0.3113806	0.3079433	0.301763	0.2941641	0.2849739	0.2783768	0.2686068	0.2620099	0.2562581	0.2475972	0.2364168	0.2224527	0.2097505	0.1998754	0.193141	0.1922614	0.1966532	0.2083239	0.235315	0.2728831	0.315953	0.3584495	0.3915735	0.4189446	0.437409	0.4508469	0.4625246	0.4698768	0.4774422	0.4835804	0.4888388	0.4917659	0.4971522	0.498154	0.5012839	0.5035364	0.5043454	0.5050275	0.5061801	0.5056138	0.506152	0.5047928	0.5044648	0.503019	0.5032541	0.501571	0.5021046	0.5017021	0.5018649	0.5023605	0.5003479	0.5015713	0.5012765	0.5028405	0.501651
Barely	16/05/2025 08:14:56	11.0	 -Fe +N	0.1657122	0.1683186	0.172196	0.1724554	0.1738953	0.1743897	0.1752259	0.1761236	0.176352	0.1765623	0.1768405	0.1770508	0.1791267	0.1838191	0.1896904	0.1944066	0.2043402	0.2160177	0.231231	0.2483019	0.266032	0.2872024	0.3066583	0.3274404	0.346433	0.3621886	0.3764418	0.3866829	0.3919164	0.3986093	0.4032172	0.4057409	0.4086775	0.4106507	0.4114148	0.4129224	0.4134909	0.412635	0.4115318	0.4073558	0.4031419	0.3971944	0.3908372	0.3841486	0.3805009	0.3757626	0.37143	0.3667753	0.3635892	0.3613551	0.3600472	0.358351	0.3572496	0.3538772	0.3504471	0.345482	0.3401341	0.3347793	0.3301256	0.3267114	0.3237382	0.3232436	0.321643	0.3177351	0.3123467	0.305667	0.2957941	0.2894983	0.2799807	0.2734908	0.2665418	0.2572249	0.2450706	0.2305703	0.215709	0.2051597	0.1981862	0.1961936	0.1989966	0.2098426	0.2345511	0.27181	0.3150235	0.3593237	0.3953993	0.4229429	0.4435413	0.4585737	0.4699413	0.4795417	0.4870012	0.492799	0.4988563	0.5029692	0.5076474	0.5089293	0.5131035	0.51409	0.5161968	0.5173704	0.5181083	0.5177423	0.5167703	0.5163218	0.5163404	0.5161888	0.5161349	0.5140845	0.5147875	0.5132827	0.513191	0.5135502	0.5133479	0.5142492	0.5130746	0.5143211	0.5144145
