Treatments	Species	Thesis	Leaf	X397.32	X400.20	X403.09	X405.97	X408.85	X411.74	X414.63	X417.52	X420.40	X423.29	X426.19	X429.08	X431.97	X434.87	X437.76	X440.66	X443.56	X446.45	X449.35	X452.25	X455.16	X458.06	X460.96	X463.87	X466.77	X469.68	X472.59	X475.50	X478.41	X481.32	X484.23	X487.14	X490.06	X492.97	X495.89	X498.80	X501.72	X504.64	X507.56	X510.48	X513.40	X516.33	X519.25	X522.18	X525.10	X528.03	X530.96	X533.89	X536.82	X539.75	X542.68	X545.62	X548.55	X551.49	X554.43	X557.36	X560.30	X563.24	X566.18	X569.12	X572.07	X575.01	X577.96	X580.90	X583.85	X586.80	X589.75	X592.70	X595.65	X598.60	X601.55	X604.51	X607.46	X610.42	X613.38	X616.34	X619.30	X622.26	X625.22	X628.18	X631.15	X634.11	X637.08	X640.04	X643.01	X645.98	X648.95	X651.92	X654.89	X657.87	X660.84	X663.81	X666.79	X669.77	X672.75	X675.73	X678.71	X681.69	X684.67	X687.65	X690.64	X693.62	X696.61	X699.60	X702.58	X705.57	X708.57	X711.56	X714.55	X717.54	X720.54	X723.53	X726.53	X729.53	X732.53	X735.53	X738.53	X741.53	X744.53	X747.54	X750.54	X753.55	X756.56	X759.56	X762.57	X765.58	X768.60	X771.61	X774.62	X777.64	X780.65	X783.67	X786.68	X789.70	X792.72	X795.74	X798.77	X801.79	X804.81	X807.84	X810.86	X813.89	X816.92	X819.95	X822.98	X826.01	X829.04	X832.07	X835.11	X838.14	X841.18	X844.22	X847.25	X850.29	X853.33	X856.37	X859.42	X862.46	X865.50	X868.55	X871.60	X874.64	X877.69	X880.74	X883.79	X886.84	X889.90	X892.95	X896.01	X899.06	X902.12	X905.18	X908.24	X911.30	X914.36	X917.42	X920.48	X923.55	X926.61	X929.68	X932.74	X935.81	X938.88	X941.95	X945.02	X948.10	X951.17	X954.24	X957.32	X960.40	X963.47	X966.55	X969.63	X972.71	X975.79	X978.88	X981.96	X985.05	X988.13	X991.22	X994.31	X997.40	X1000.49	X1003.58
Cs_-N+Fe	Cs	-N+Fe	35.886	0.12920516	0.111001597	0.099699684	0.090395389	0.083830952	0.079968738	0.075615823	0.072534533	0.069287715	0.066339548	0.063787385	0.061681029	0.059846655	0.057842522	0.05574245	0.053737948	0.051403721	0.049186006	0.047435893	0.047216695	0.048417102	0.04932482	0.050505808	0.050309704	0.050010399	0.050061223	0.049781753	0.049742878	0.049315101	0.049042952	0.049135464	0.049086258	0.049146144	0.049494385	0.050276193	0.051441337	0.053339931	0.056384958	0.060829465	0.066931903	0.075000612	0.085324367	0.097722093	0.111458137	0.125767917	0.138948093	0.150028083	0.158708457	0.164857992	0.169036012	0.171685151	0.173569764	0.175317985	0.177193964	0.177852399	0.17658879	0.173000741	0.167579133	0.160432111	0.151952289	0.142786112	0.13418347	0.126548529	0.119885421	0.114631123	0.110274157	0.106593182	0.103638142	0.101386753	0.099424991	0.097692666	0.095647727	0.093152689	0.090016814	0.08655106	0.083147337	0.080159027	0.077835887	0.076361575	0.075538786	0.074493455	0.073324564	0.071200098	0.068151036	0.064296527	0.060396361	0.057362025	0.055010746	0.053609616	0.052250785	0.050731906	0.049103879	0.047778043	0.047064929	0.047118914	0.047624777	0.048722127	0.049970246	0.051989689	0.055595273	0.063208572	0.077623868	0.100939097	0.131951922	0.168058121	0.205594874	0.242871493	0.279078851	0.313234945	0.345818919	0.377579298	0.407255402	0.430863402	0.452921734	0.472930649	0.48962122	0.503267224	0.515313534	0.527805337	0.538148758	0.549577859	0.56131868	0.575837003	0.589441919	0.604770203	0.619350158	0.632815724	0.644160969	0.654994125	0.663438457	0.670022194	0.675997553	0.682170994	0.686933384	0.690771911	0.693230604	0.694608333	0.695901853	0.6974282	0.699398398	0.701438287	0.70391939	0.70834516	0.711454275	0.711909389	0.711377722	0.711478224	0.711397621	0.712004138	0.711496194	0.711984932	0.711817725	0.711677883	0.711366444	0.711601737	0.711204136	0.711443005	0.712573161	0.712596586	0.711755579	0.712649083	0.712582719	0.710488693	0.710737952	0.709398381	0.709585609	0.708649216	0.708332448	0.708232339	0.707984569	0.708402276	0.707448335	0.706979525	0.706262344	0.706930607	0.706692026	0.706224037	0.705833559	0.704473393	0.703754989	0.700133081	0.699723312	0.700690633	0.697862205	0.697339337	0.696463948	0.69397094	0.690637709	0.687314552	0.689385011	0.686577127	0.68373367	0.686122435	0.684152568	0.683760454	0.679674387	0.681633914	0.680631094	0.682614684	0.681804672	0.678698758	0.679962759	0.677683155	0.546716973
Cs_-N+Fe	Cs	-N+Fe	26.099	0.132893373	0.11330887	0.101061654	0.091361504	0.084679062	0.0804745	0.075672931	0.073168212	0.069400644	0.065951998	0.063817578	0.061355592	0.059190321	0.057244101	0.054987055	0.053125015	0.050778578	0.048864144	0.047334172	0.04742096	0.048661971	0.049894764	0.050792862	0.050526317	0.050383923	0.049905762	0.049880987	0.049578044	0.049259137	0.049106466	0.049235042	0.049153213	0.049443413	0.050210409	0.05130949	0.053297443	0.05613488	0.060475049	0.066284791	0.074155299	0.084209017	0.096785907	0.111311441	0.126968616	0.142641359	0.157027244	0.169036244	0.178351292	0.184766155	0.189002635	0.192172901	0.194267606	0.196350199	0.197623353	0.198049491	0.196639155	0.193202393	0.187702926	0.180439704	0.171395095	0.161446153	0.152271808	0.143909117	0.136824028	0.130890905	0.12596375	0.121769941	0.118461071	0.115927601	0.113919478	0.112044702	0.109682385	0.106645135	0.102728379	0.098441141	0.094123044	0.090382016	0.087272194	0.085345711	0.084668553	0.084391139	0.083465109	0.081483992	0.077499481	0.072803331	0.067597011	0.063123973	0.060061498	0.057923219	0.05599829	0.053622689	0.051074424	0.048943596	0.047587119	0.047151422	0.047429882	0.048411807	0.049842976	0.05258417	0.057644947	0.068086906	0.086814243	0.115069739	0.149942999	0.188756067	0.227417171	0.264577638	0.298759635	0.330720736	0.360116629	0.385229024	0.411847289	0.435107039	0.454599592	0.471127666	0.485874025	0.497930368	0.508915113	0.519353195	0.528954414	0.539067422	0.55020949	0.563236833	0.576341192	0.590572953	0.604686709	0.618861015	0.630500642	0.641389435	0.649374135	0.656073002	0.66068744	0.665843783	0.669019872	0.672998837	0.675243157	0.677494787	0.679997287	0.68172892	0.683160456	0.683335095	0.68214303	0.682015013	0.685162851	0.685723356	0.687271832	0.688360478	0.689007857	0.689761805	0.690632674	0.692085456	0.691963614	0.692766174	0.692280211	0.692443194	0.691005657	0.6913061	0.690636562	0.690962294	0.689025464	0.690403578	0.689948998	0.689121705	0.689256727	0.688541963	0.689275184	0.688876765	0.68869957	0.687751535	0.687332682	0.687103994	0.68541161	0.684095412	0.683175779	0.682940497	0.68262148	0.682692673	0.682860434	0.682923617	0.682235332	0.67929417	0.678600552	0.680110015	0.677200917	0.676675814	0.675319774	0.672897565	0.669666234	0.666921147	0.668965875	0.6667391	0.664169154	0.666901165	0.665303815	0.665111829	0.661825543	0.664071872	0.662934352	0.664865659	0.664086418	0.661647299	0.661693351	0.659416392	0.532733324
Cs_-N+Fe	Cs	-N+Fe	17.353	0.129072583	0.110508488	0.098494561	0.089325902	0.082776449	0.0787224	0.074583704	0.071246525	0.067821097	0.064880954	0.062366976	0.060023738	0.05801707	0.056039378	0.054012428	0.051778207	0.049257012	0.047028168	0.045249867	0.044687604	0.045725489	0.046861297	0.048155646	0.047966497	0.047827464	0.047902801	0.047639857	0.047646674	0.047312362	0.047002868	0.047089053	0.047101975	0.046949272	0.047229017	0.047701593	0.048604431	0.049950695	0.052175073	0.055289742	0.05955577	0.065505643	0.073272494	0.082817594	0.093570984	0.105127322	0.116169358	0.125450925	0.133090374	0.138531528	0.142094941	0.144377701	0.146157781	0.147641703	0.149309535	0.14968729	0.148496342	0.145348556	0.14060775	0.134368342	0.126870226	0.119108483	0.111670639	0.105177304	0.09975012	0.095521773	0.092002005	0.088969102	0.086513423	0.084637736	0.08307928	0.081780896	0.08017463	0.078207414	0.075942208	0.073204766	0.070582277	0.068414192	0.066642919	0.065439028	0.064844703	0.064121898	0.063264883	0.061808182	0.059561984	0.056687206	0.053865694	0.051639758	0.049903318	0.049010012	0.048117574	0.047135201	0.045878798	0.045003998	0.044421342	0.044572518	0.045090181	0.045978446	0.047225957	0.04899999	0.052037585	0.058015261	0.069282317	0.087840475	0.113675291	0.145063939	0.179733032	0.21547452	0.251526567	0.287140925	0.321463829	0.356219337	0.3882768	0.415901824	0.443108735	0.466362524	0.485756932	0.502614319	0.516872729	0.530908692	0.543053765	0.55612638	0.568957147	0.584023482	0.598181022	0.613250974	0.627681415	0.640826581	0.652312406	0.662951632	0.671054954	0.677581913	0.683366594	0.688747083	0.693422157	0.69688014	0.699433018	0.701062103	0.702314536	0.704350011	0.706101487	0.708320998	0.709910971	0.713956513	0.715776371	0.715753103	0.715876506	0.716576119	0.716562421	0.716973935	0.716853807	0.717469155	0.717453273	0.717243656	0.717691059	0.717826407	0.71736195	0.718063062	0.718715547	0.719014479	0.717767153	0.718883104	0.718266183	0.716586566	0.716867482	0.71571753	0.715575374	0.716011793	0.715414415	0.715519696	0.715133346	0.715294983	0.714531288	0.713895444	0.713669922	0.714335748	0.714272297	0.713333757	0.713159044	0.712490034	0.711878804	0.708498417	0.708162864	0.708474385	0.705535947	0.705290943	0.704171775	0.701434663	0.697717296	0.694337007	0.695897998	0.692883477	0.690170711	0.692971924	0.69126706	0.690598074	0.686609007	0.688973602	0.688832464	0.690516435	0.689885249	0.686724961	0.687999531	0.685844746	0.553131326
Cs_-N+Fe	Cs	-N+Fe	38.161	0.122264151	0.104450677	0.092372726	0.083332542	0.077147645	0.072955569	0.068916162	0.066420567	0.062682377	0.059601002	0.057773592	0.055346743	0.053240232	0.051433636	0.049544655	0.047895436	0.045645351	0.043940995	0.042524863	0.042521867	0.043684806	0.044630636	0.045313312	0.045031182	0.044929809	0.044432555	0.04434007	0.044000505	0.043756647	0.043542001	0.043649396	0.043553108	0.043721462	0.044262733	0.044995381	0.046583339	0.048646662	0.051981559	0.056471847	0.062659306	0.070898572	0.081148283	0.093295427	0.106608331	0.120345902	0.133065098	0.143856346	0.15210354	0.15784896	0.161545533	0.164149068	0.165932638	0.167480557	0.168380867	0.168576907	0.167261862	0.164122585	0.15899432	0.152227063	0.143917439	0.135043704	0.126796413	0.119463219	0.113246574	0.108031111	0.103875291	0.100138388	0.09724204	0.095093565	0.093296949	0.09174966	0.089775901	0.087302748	0.084134067	0.080677668	0.077116772	0.074130998	0.071567505	0.070087611	0.069674754	0.069419796	0.068659452	0.066963227	0.063726391	0.060029685	0.055987419	0.052602445	0.050375344	0.048844727	0.047596303	0.045899194	0.044282886	0.042945981	0.042230571	0.042336729	0.042986431	0.044286119	0.045959525	0.048514232	0.052570407	0.060643761	0.075305444	0.098457341	0.128524206	0.163503559	0.19977982	0.235783889	0.270134794	0.303215527	0.333675719	0.361020515	0.390351191	0.415540383	0.437017157	0.455537327	0.472129269	0.485776537	0.497897042	0.509580643	0.519981547	0.530626053	0.54227249	0.555875571	0.569199838	0.583726631	0.597963221	0.612292325	0.623816449	0.634923746	0.642691589	0.649409607	0.654207951	0.659107921	0.662243086	0.666421768	0.6690401	0.671248717	0.673732149	0.675403808	0.676828597	0.676761458	0.675283336	0.674710784	0.678096951	0.678701706	0.680485648	0.681569919	0.682065389	0.683240586	0.683596741	0.685013691	0.685323287	0.686010046	0.685333	0.685656895	0.684355853	0.684698817	0.684199427	0.684570365	0.682933131	0.68415086	0.683966586	0.682863715	0.683416887	0.682535837	0.683555684	0.682770843	0.682848284	0.682014235	0.681438794	0.681429754	0.679747163	0.678591778	0.677481783	0.678040176	0.677834662	0.67802213	0.67758383	0.677902892	0.677249632	0.674361058	0.673837934	0.674921663	0.671906775	0.671569673	0.669874377	0.667528331	0.663915701	0.660679739	0.662878067	0.660754353	0.657915824	0.660744035	0.659087344	0.659095572	0.656203219	0.658228367	0.656753933	0.659726349	0.658076977	0.655505604	0.655512157	0.653117157	0.526129721
Cs_-N+Fe	Cs	-N+Fe	47.99	0.133634826	0.114328101	0.102147304	0.092533085	0.085685276	0.08138211	0.077140042	0.073623452	0.070339688	0.067220863	0.064675542	0.062262858	0.060223456	0.058027536	0.055962784	0.053734934	0.051305466	0.049187383	0.047526383	0.047381789	0.048762108	0.049942306	0.051286188	0.051085283	0.050860598	0.050892952	0.050650857	0.050707034	0.050488459	0.050387826	0.050596535	0.050733583	0.051055728	0.051862708	0.053286492	0.055322345	0.058536047	0.063248804	0.069731062	0.078201826	0.089037431	0.102443877	0.117833581	0.134379434	0.150813358	0.165568475	0.177692537	0.187082861	0.193733938	0.198257312	0.20126469	0.203400836	0.205310623	0.207408054	0.208130066	0.206965084	0.203351142	0.197637284	0.190156363	0.180956082	0.171049491	0.161516595	0.152958395	0.145496002	0.139447566	0.134394495	0.130087061	0.126532322	0.123836052	0.121523894	0.119420584	0.11696926	0.113939095	0.110171592	0.105885136	0.101611686	0.097815495	0.094812452	0.092870067	0.091756817	0.090508293	0.089040394	0.086228327	0.082021596	0.076535244	0.070931576	0.06626962	0.062733297	0.060551553	0.058414602	0.055941161	0.05314351	0.05073858	0.049128823	0.048588773	0.048720521	0.049631696	0.050986231	0.053604136	0.059069933	0.070346775	0.090489968	0.120624073	0.157840795	0.19844203	0.238691919	0.276422459	0.311421794	0.343149935	0.372298982	0.400519459	0.425276622	0.444958785	0.463485469	0.479896298	0.493195959	0.504332544	0.514071936	0.524539263	0.533318947	0.543489497	0.553873501	0.566995669	0.579344174	0.593245332	0.606547555	0.619085396	0.629560014	0.639435339	0.647314548	0.653307785	0.658878529	0.664243978	0.668524554	0.672117619	0.674601664	0.676108156	0.67751934	0.679088928	0.680882627	0.683098917	0.685088825	0.689206225	0.691330176	0.691841804	0.691535079	0.692013624	0.692200453	0.692884928	0.692466901	0.693326316	0.693366083	0.693259468	0.693188324	0.693517783	0.692788491	0.693518993	0.694385705	0.694734508	0.693877505	0.69484525	0.694646358	0.692918376	0.692963894	0.692081019	0.692015281	0.691805441	0.691333137	0.691389595	0.691299216	0.691634584	0.69052185	0.690172855	0.689618567	0.690080767	0.690215944	0.689657099	0.68947756	0.688491387	0.688102806	0.684738301	0.684679246	0.685905189	0.683424059	0.683205611	0.682480719	0.68075014	0.677552069	0.675421955	0.677146252	0.674866702	0.672129018	0.674742735	0.672772292	0.67262535	0.668455773	0.670542607	0.669441876	0.670833918	0.670076927	0.66700726	0.668349096	0.66595384	0.539845716
Cs_-N+Fe	Cs	-N+Fe	40.771	0.129186095	0.110872782	0.097935366	0.08851845	0.082039648	0.077799529	0.074019017	0.071509826	0.06795336	0.064754926	0.062943303	0.060504004	0.058421477	0.056314702	0.054398766	0.05236477	0.05003827	0.048137219	0.046414198	0.046332474	0.047500907	0.048404804	0.049193778	0.048960529	0.048860911	0.048377367	0.048368481	0.048082244	0.047834248	0.047561417	0.047697196	0.047587808	0.047728242	0.048227226	0.049010121	0.050507719	0.05265026	0.055885183	0.060419449	0.066617025	0.074895829	0.085265592	0.097671176	0.111106974	0.124938062	0.137784696	0.148662531	0.157107603	0.163016146	0.166904156	0.169734407	0.171786222	0.173497106	0.174546535	0.174971198	0.173867943	0.170810087	0.165746469	0.159007904	0.150724462	0.141769073	0.133487456	0.126035344	0.119768757	0.114495892	0.110186556	0.106478433	0.103527692	0.101390068	0.099568908	0.097995342	0.095896724	0.093304377	0.089967455	0.086362637	0.082625163	0.079396817	0.076687754	0.075217574	0.074818057	0.074630886	0.073901323	0.072090854	0.068856845	0.064943726	0.060668594	0.057144874	0.054719685	0.05307107	0.051617606	0.049787522	0.04787122	0.046321087	0.04533367	0.045076761	0.04529378	0.046160112	0.047113297	0.049087546	0.052689884	0.06048972	0.075215173	0.098531159	0.12891683	0.163814313	0.19950901	0.234517852	0.267330244	0.29871544	0.326880501	0.352533477	0.379765852	0.403083891	0.42271104	0.439641366	0.454987741	0.467422198	0.477989092	0.488590404	0.497995607	0.507468977	0.517701974	0.529981687	0.541786358	0.55504907	0.567901331	0.581440144	0.592281828	0.602910093	0.610020059	0.616435257	0.620919731	0.625461068	0.628648548	0.632394851	0.635260327	0.637395482	0.639902299	0.641269607	0.642703393	0.642183464	0.640423522	0.639967525	0.643335283	0.644397159	0.646103479	0.647325229	0.64804332	0.649277773	0.64974781	0.651132147	0.651215984	0.652048557	0.651186643	0.651706645	0.650549211	0.65071099	0.650439166	0.650514316	0.649286757	0.650310691	0.650248637	0.649344826	0.649954984	0.64902589	0.650138737	0.649663524	0.649450811	0.64836978	0.647868837	0.647960792	0.646002545	0.644903637	0.643536771	0.644187366	0.643468127	0.643764168	0.643483354	0.643587549	0.643010518	0.640041457	0.639578313	0.640791145	0.637758305	0.637595005	0.635904308	0.633784287	0.630478079	0.627566615	0.629536403	0.627362071	0.624492047	0.627398311	0.625823075	0.62566481	0.622379076	0.624433004	0.623084244	0.625777517	0.624145043	0.621701575	0.621577751	0.619512161	0.504345921
Cs_-N+Fe	Cs	-N+Fe	2.297	0.129842148	0.112059533	0.099165027	0.089713143	0.085230217	0.082194083	0.078985785	0.072604346	0.07069308	0.068559711	0.066077584	0.065177089	0.062967532	0.06093673	0.059123208	0.056876975	0.054222926	0.0520274	0.050330651	0.049583664	0.050634757	0.051873015	0.05312996	0.05302902	0.052852382	0.052866227	0.052724588	0.052242209	0.052133926	0.051730149	0.051932478	0.051246257	0.051242884	0.051135539	0.051448345	0.051845633	0.052242585	0.053813704	0.055294294	0.057963324	0.061718741	0.066431661	0.07257559	0.079837247	0.08826671	0.096340311	0.103497722	0.109460738	0.113731529	0.116336455	0.11816315	0.119797957	0.120814826	0.122099162	0.122456259	0.121764417	0.118902654	0.114906024	0.110001687	0.103992946	0.098058215	0.092598531	0.087671913	0.083754788	0.080358167	0.078056576	0.075838425	0.074102375	0.072988066	0.071823694	0.070935618	0.069585297	0.068400584	0.066673189	0.064878881	0.063251778	0.061624036	0.060574708	0.059971317	0.059650151	0.058880427	0.058450168	0.057170969	0.056070276	0.054285998	0.052663683	0.051620951	0.050499147	0.050069657	0.049496876	0.048876691	0.048303078	0.047884719	0.047891406	0.048254708	0.048724594	0.049797494	0.050901682	0.052472524	0.05455215	0.058341645	0.065884577	0.078723005	0.097525298	0.122114767	0.150665849	0.182149102	0.215409127	0.251090615	0.287050754	0.325323096	0.363494804	0.397108082	0.431689817	0.461836343	0.488706172	0.510789979	0.530855632	0.549919932	0.565488423	0.581076838	0.596446997	0.613611025	0.628592193	0.644609464	0.65932956	0.672979866	0.684115849	0.693677413	0.702346342	0.708328377	0.713550984	0.71921811	0.724156612	0.727486227	0.729946465	0.731652885	0.732899853	0.734534447	0.736387237	0.739090888	0.741583672	0.74577185	0.748673443	0.747730028	0.746789175	0.748161697	0.748162674	0.748042517	0.747983436	0.748734456	0.748455549	0.748237749	0.747836694	0.748041129	0.748720802	0.748724093	0.749980764	0.750129361	0.748322989	0.749919932	0.749082887	0.746762538	0.746644448	0.74631651	0.745237123	0.744722214	0.744618033	0.744608561	0.743334579	0.744024067	0.741403526	0.742007305	0.741799364	0.741965069	0.741702681	0.740164565	0.740092516	0.738607964	0.737160924	0.732393823	0.730291481	0.730635884	0.726492773	0.723765479	0.722735038	0.717619143	0.712659598	0.705873536	0.705884663	0.701522107	0.699260291	0.702304411	0.699268845	0.696594596	0.69395225	0.697045503	0.696224381	0.696422466	0.696903567	0.694592372	0.696176841	0.694714371	0.558332269
Cs_-N+Fe	Cs	-N+Fe	7.726	0.118916585	0.103541508	0.091186674	0.082661171	0.078073809	0.075218622	0.071450074	0.067802742	0.06546785	0.062930906	0.060934501	0.059368761	0.057323181	0.055450422	0.053664664	0.052177828	0.049868995	0.04777468	0.04640413	0.045997276	0.047110634	0.048072766	0.048942956	0.048693412	0.048487759	0.048305063	0.048062409	0.047777796	0.047527773	0.047207616	0.047219734	0.047141376	0.047224032	0.047563868	0.048435682	0.049575874	0.051618087	0.054779974	0.059109722	0.065415961	0.073614992	0.083831518	0.096028324	0.109745516	0.123896142	0.136950079	0.148047146	0.156749296	0.16280401	0.166723827	0.169794976	0.171815069	0.173519701	0.174640896	0.175025187	0.173695085	0.170516392	0.165264427	0.158412398	0.149838539	0.14064118	0.132218264	0.124548171	0.118266323	0.112886203	0.108553002	0.104787067	0.101830257	0.099534474	0.097683456	0.096036701	0.093978669	0.091408404	0.088326297	0.084670348	0.081306287	0.078251617	0.075621593	0.073994971	0.073591176	0.073232252	0.072556999	0.070567241	0.067031411	0.063100333	0.058866356	0.055567259	0.053165899	0.051753861	0.050476063	0.048914143	0.047350666	0.045905188	0.045160188	0.045069348	0.045247665	0.046143431	0.047391696	0.049497156	0.053446257	0.061668991	0.076839619	0.10134249	0.132940298	0.169472533	0.206890599	0.243901867	0.278439942	0.311679022	0.342375415	0.369558779	0.398309871	0.423514205	0.445016659	0.463410738	0.479538703	0.492978771	0.505154993	0.516643001	0.526934113	0.537739638	0.549190958	0.562758597	0.576163115	0.590573193	0.60489969	0.619127098	0.630558748	0.641588579	0.649636423	0.656432178	0.661066473	0.666210498	0.669398785	0.67326504	0.675683399	0.677898791	0.680524104	0.682050681	0.683599839	0.683824398	0.682852254	0.682501867	0.685689729	0.686350529	0.687935448	0.688993905	0.68967918	0.690568848	0.691021812	0.69263445	0.692587485	0.693593417	0.692792876	0.693082856	0.691972916	0.691993037	0.691511348	0.69192207	0.689973032	0.691006644	0.690618622	0.689529532	0.690168503	0.689157903	0.690083724	0.689693828	0.689111413	0.688396009	0.687804837	0.687307626	0.685756177	0.684582744	0.683322492	0.683267774	0.683245486	0.683346336	0.683182224	0.68318408	0.682293273	0.679035739	0.678657377	0.679635638	0.676423566	0.67620261	0.67490386	0.671951929	0.668300337	0.664771051	0.66718282	0.664331568	0.662091714	0.663692666	0.662211847	0.661940036	0.65906115	0.660935609	0.659529205	0.661596536	0.661333785	0.657537979	0.657324386	0.655366564	0.526025849
Cs_-N+Fe	Cs	-N+Fe	23.499	0.130854634	0.115089332	0.102344017	0.093716142	0.089029865	0.084491095	0.079711079	0.075341848	0.073033768	0.070773821	0.068047722	0.06624427	0.063866869	0.061978162	0.060468972	0.058327659	0.056012877	0.054030018	0.052550986	0.052561967	0.053792629	0.055390728	0.056272234	0.056086683	0.056262479	0.056013099	0.055999467	0.055534532	0.055619063	0.055387588	0.055578516	0.055495363	0.055677714	0.056091032	0.057242322	0.058879868	0.06133992	0.065043796	0.069931972	0.076912727	0.085547388	0.09648375	0.109252123	0.123717607	0.138435358	0.151931178	0.163593138	0.172848058	0.179479043	0.183859275	0.18675586	0.1888454	0.190918201	0.192976202	0.193587261	0.192410909	0.1889921	0.18357777	0.176902723	0.16834334	0.159321393	0.150576289	0.142504313	0.135836788	0.130316582	0.125886386	0.122003118	0.119059951	0.116590505	0.114645196	0.112904221	0.110848274	0.108175666	0.105019211	0.101132146	0.097441	0.094059689	0.091429224	0.089876735	0.088861852	0.087929615	0.086683544	0.084358701	0.080929452	0.076468388	0.072037898	0.068311227	0.065461453	0.063751482	0.062007824	0.059934684	0.057501694	0.055362987	0.054121485	0.053991136	0.054302995	0.055366951	0.057302565	0.060172975	0.065373246	0.075234592	0.092599775	0.118766188	0.151747287	0.188920021	0.227608401	0.26580442	0.302806245	0.338347819	0.372074403	0.40625167	0.436344749	0.463012333	0.488499733	0.510442767	0.528332457	0.543951831	0.557061834	0.570320764	0.581501564	0.593695523	0.605850167	0.620335795	0.634130556	0.648562013	0.662488244	0.675043111	0.686106528	0.696104482	0.704241847	0.710075466	0.715689182	0.720846729	0.725538387	0.729031144	0.731329523	0.733037484	0.734559603	0.736484956	0.73791413	0.740046807	0.741690261	0.745418868	0.746803849	0.746950403	0.747304725	0.748209108	0.747770515	0.748252503	0.748673553	0.749140553	0.749261257	0.748961635	0.749641562	0.74972868	0.749027244	0.749428024	0.750050441	0.750553827	0.749000808	0.750136128	0.748928633	0.747565165	0.746859247	0.746237908	0.746170224	0.746164886	0.745523047	0.745431982	0.744952687	0.745289683	0.744299442	0.743583408	0.743667466	0.743229801	0.743470266	0.74313053	0.742496164	0.741482163	0.741476748	0.73723685	0.736498435	0.736577061	0.733079683	0.73163462	0.730662353	0.727127534	0.722824632	0.718648429	0.718971734	0.715844194	0.712536925	0.715264914	0.712592478	0.711990713	0.709271159	0.711087452	0.70994718	0.712110298	0.711247516	0.708192565	0.709687911	0.706788469	0.568069953
Cs_-N+Fe	Cs	-N+Fe	34.207	0.123947907	0.108973494	0.096089325	0.087062838	0.08192666	0.079375129	0.075393933	0.071599392	0.069273268	0.066632833	0.06455765	0.062671269	0.060392995	0.058608241	0.056619302	0.054966695	0.052864406	0.050778296	0.049593208	0.04951908	0.050873049	0.052140302	0.052894587	0.052644764	0.052523082	0.052307648	0.051992835	0.051751836	0.051562373	0.05138411	0.05156875	0.051602837	0.051952056	0.052551712	0.053953873	0.055794028	0.058725953	0.063271281	0.06914438	0.077191891	0.087412733	0.100048025	0.114488109	0.130149487	0.145933907	0.160202705	0.172231331	0.181507369	0.187787442	0.191818464	0.194936724	0.197054654	0.198684876	0.199746865	0.200012958	0.198790116	0.195452303	0.190055993	0.182756826	0.173844184	0.164025002	0.154870924	0.146575334	0.139611845	0.133622136	0.128812339	0.12458971	0.12123913	0.118771166	0.116663413	0.114840279	0.112410296	0.109447	0.10568543	0.10146345	0.09724948	0.093486265	0.090212454	0.088385495	0.087957963	0.08763844	0.08691699	0.08451918	0.080436196	0.075569619	0.070137684	0.065789144	0.062591466	0.060531426	0.058620629	0.056330798	0.053913846	0.051759055	0.050486984	0.050129783	0.050359182	0.051336087	0.052916693	0.05558537	0.060667169	0.070958543	0.089227206	0.117261059	0.152032415	0.190682728	0.229071376	0.265847847	0.299576277	0.331230521	0.359248464	0.384224934	0.411376992	0.434133654	0.453063829	0.469221101	0.48374562	0.495431731	0.505832177	0.51626241	0.525583771	0.535326383	0.545926469	0.558727842	0.571305144	0.585237859	0.598586522	0.612661556	0.623793506	0.634863569	0.642254274	0.648838582	0.653726134	0.658409091	0.661599201	0.665565238	0.668327712	0.670452187	0.67314485	0.67439538	0.675968284	0.675457767	0.673766376	0.673166835	0.676464856	0.677401881	0.679214746	0.68034686	0.68094501	0.682026354	0.682538746	0.684010207	0.684292062	0.685126451	0.68404727	0.684798606	0.683380384	0.683536914	0.683274701	0.683779477	0.682184372	0.682954924	0.682892379	0.681854458	0.6828634	0.681698319	0.682614642	0.682138719	0.681787625	0.681058433	0.680244496	0.680141698	0.678711006	0.677547738	0.676208863	0.676650459	0.676739826	0.676912891	0.676883774	0.67668436	0.675942993	0.673016226	0.672599292	0.673563855	0.670792831	0.67016201	0.668708868	0.666213062	0.662880689	0.659495821	0.661125655	0.658998938	0.656735178	0.659492766	0.657857478	0.657103052	0.654256509	0.65679979	0.655441217	0.657284276	0.65674485	0.653570358	0.653605439	0.651805876	0.525639906
