gene_id	1P	2P	3P	4P	5P	6P	7P	8P	9P	10P	11P	12P	13P	14P	15P
Solyc01g004000.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g004002.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g004004.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g004006.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g004008.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g005130.2.ITAG4.0	28.0701	24.1035	27.7498	23.7751	29.1508	26.4116	21.1992	21.5038	23.2814	29.0749	25.3562	20.7281	24.5331	23.0013	27.7252
Solyc01g005180.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g005253.1.ITAG4.0	2.75119	4.2647	3.61598	3.87277	3.7378	3.19171	4.43161	2.54819	4.9505	3.88621	4.16076	4.71605	5.27214	2.72225	3.27928
Solyc01g005257.1.ITAG4.0	6.52357	4.56662	7.24905	5.19368	6.4498	7.30173	7.13931	7.40212	5.96287	4.30913	5.14702	6.41666	4.62937	5.73548	6.58442
Solyc01g005320.2.ITAG4.0	3.10037	1.5524	5.29983	1.37021	0.872406	5.87982	4.05311	1.42434	2.43967	0.780459	2.08599	1.24078	1.68415	2.67668	2.20208
Solyc01g005420.2.ITAG4.0	10.8837	13.8537	9.66242	10.832	14.458	8.56837	7.88315	7.91154	4.30936	8.80831	8.67466	7.55025	8.05791	11.6807	10.1074
Solyc01g005580.2.ITAG4.0	23.9346	23.2268	24.4142	22.7247	22.1833	21.022	20.2043	18.555	24.0673	21.8622	24.5005	24.144	28.8245	25.4926	25.2323
Solyc01g005590.2.ITAG4.0	133.684	148.826	158.278	121.156	113.796	133.723	93.0693	77.8655	96.683	48.3819	59.7877	75.1298	70.3459	89.0656	64.6886
