ID 	description
1P	 -N-Fe (controllo senza re-supply)
2P	 -N-Fe (controllo senza re-supply)
3P	 -N-Fe (controllo senza re-supply)
4P	 -N-Fe ( controllo con re-supply 5μM Fe)
5P	 -N-Fe ( controllo con re-supply 5μM Fe)
6P	 -N-Fe ( controllo con re-supply 5μM Fe)
7P	 Ni-Fe(Nitrato + re-supply 5μM Fe)
8P	 Ni-Fe(Nitrato + re-supply 5μM Fe)
9P	 Ni-Fe(Nitrato + re-supply 5μM Fe)
10P	 A-Fe(Ammonio + re-supply 5μM Fe)
11P	 A-Fe(Ammonio + re-supply 5μM Fe)
12P	 A-Fe(Ammonio + re-supply 5μM Fe)
13P	 U-Fe(Urea + re-supply 5μM Fe)
14P	 U-Fe(Urea + re-supply 5μM Fe)
15P	 U-Fe(Urea + re-supply 5μM Fe)
