At1g01570	fringe-related protein
At1g05700	leucine-rich repeat protein kinase, putative
At1g09560	GLP5 (GERMIN-LIKE PROTEIN 5); manganese ion binding
At1g09790	COBL6, phytochelatin synthetase-related
At1g18910	zinc finger (C3HC4-type RING finger) family protein
At1g21140	nodulin, putative
At1g23020	ATFRO3 (FERRIC REDUCTION OXIDASE 3); ferric-chelate reductase
At1g34760	GRF11 (General regulatory factor 11), amino acid binding
At1g47400	unknown protein
At1g49000	unknown protein
At1g49820	ATMTK, S-methyl-5-thioribose kinase
At1g56160	AtMYB72 (myb domain protein 72); DNA binding/ transcription factor
At1g56430	nicotianamine synthase, putative
At1g60610	protein binding/zinc ion binding, unknown protein
At1g68650	unknown protein
At1g73120	unknown protein
At1g74770	unknown protein
At1g77280	protein kinase family protein
At2g01880	ATPAP7 (purple acid phosphatase 7); serine/threonine phosphatase
At2g02310	ATPP2-B6 (Phloem protein 2-B6)
At2g05830	GTP binding/eukaryotic translation initiation factor/eIF-2B family protein
At2g15830	unknown protein
At2g19410	protein kinase family protein
At2g20030	zinc finger (C3HC4-type RING finger) family protein
At2g28160	ATBHLH029/FIT1/FRU (Fe DEFICIENCY-INDUCED TF 1)
At2g29750	UGT71C1, UDP-glucoronosyl/UDP-glucosyl transferase family protein
At2g30660	3-hydroxyisobutyryl-coenzyme A hydrolase/CoAthioester hydrolase
At2g32270	ZIP3 (ZINC TRANSPORTER 3 PRECURSOR); zinc ion transporter
At2g35930	PUB, U-box domain-containing protein
At2g36885	unknown protein
At2g40300	ATFER4 (FERRITIN 4); ferric iron binding
At2g45400	BEN1, dihydroflavonol 4-reductase family/ dihydrokaempferol 4-reductase
At3g06890	unknown protein
At3g07720	kelch repeat-containing protein
At3g08040	FRD3 (FERRIC REDUCTASE DEFECTIVE 3); antiporter
At3g11750	dihydroneopterin aldolase, putative
At3g12820	AtMYB10 (myb domain protein 10); DNA binding/ transcription factor
At3g12900	oxidoreductase, 2OG-Fe(II) oxygenase family protein
At3g13610	oxidoreductase, 2OG-Fe(II) oxygenase family protein
At3g18290	EMB2454 (EMBRYO DEFECTIVE 2454); protein binding/ zinc ion binding
At3g18560	unknown protein
At3g21240	4CL2 (4-coumarate:CoA ligase 2); 4-coumarate-CoA ligase
At3g25190	nodulin, putative
At3g46900	COPT2 (Copper transporter 2); copper ion transporter
At3g47640	basic helix-loop-helix (bHLH) family protein
At3g48450	nitrate-responsive NOI protein, putative
At3g50740	UGT72E1 (UDP-glucosyl transferase 72E1)
At3g51200	auxin-responsive family protein
At3g53280	CYP71B5 (CYTOCHROME P450 71B5); oxygen binding
At3g53480	ATPDR9 (PLEIOTROPIC DRUG RESISTANCE 9); ATPase
At3g56090	ATFER3 (FERRITIN 3); ferric iron binding
At3g56980	ORG3 (OBP3-responsive gene 3); DNA binding/ transcription factor
At3g58060	cation efflux family protein/metal tolerance protein, putative (MTPc3)
At3g58810	MTPA2; efflux permease/zinc ion transporter
At3g60330	AHA7 (ARABIDOPSIS H(þ)-ATPASE 7)
At3g61410	unknown protein
At3g61930	unknown protein
At4g02330	ATPMEPCRB,pectinesterase family protein
At4g09110	zinc finger (C3HC4-type RING finger) family protein
At4g10510	subtilase family protein
At4g12910	SCPL20 (serine carboxypeptidase-like 20); serine carboxypeptidase
At4g14680	APS3 (ATP sulfurylase 2); sulfate adenylyltransferase (ATP)
At4g16370	ATOPT3 (OLIGOPEPTIDE TRANSPORTER); oligopeptide transporter
At4g19370	unknown protein
At4g19680	IRT2 (iron-responsive transporter 2); iron ion transporter/zinc ion transporter
At4g19690	IRT1 (Fe-REGULATED TRANSPORTER 1); Cd, Fe, Mn, & Zn transporter
At4g26890	MAPKKK16 (Mitogen-activated protein kinase kinase kinase 16)
At4g29220	phosphofructokinase family protein
At4g30120	HMA3 (Heavy metal ATPase 3); coupled to transmembrane movement of ions
At4g31940	CYP82C4 (cytochrome P450, family 82, subfamily C, polypeptide 4)
At4g31950	CYP82C3 (cytochrome P450, family 82, subfamily C, polypeptide 3)
At4g33020	ZIP9 (ZINC TRANSPORTER 9 PRECURSOR); cation transporter
At4g38950	kinesin motor family protein,unknown protein
At5g01060	protein kinase family protein
At5g01600	ATFER1 (ferretin 1); ferric iron binding
At5g02780	In2-1 protein, putative,unknown protein
At5g03570	ATIREG2, iron-responsive transporter-related
At5g04150	BHLH101, basic helix-loop-helix (bHLH) family protein
At5g04730	unknown protein
At5g04950	NAS1, nicotianamine synthase
At5g05250	unknown protein
At5g06490	zinc finger (C3HC4-type RING finger) family protein
At5g13740	ZIF1 (ZINC INDUCED FACILITATOR 1); sugar porter
At5g35580	kinase
At5g36890	glycosyl hydrolase family 1 protein, hydrolyzing O-glycosyl compounds
At5g38820	amino acid transporter family protein
At5g47870	unknown protein
At5g47910	RBOHD (RESPIRATORY BURST OXIDASE PROTEIN D)
At5g53450	ORG1 (OBP3-RESPONSIVE GENE 1); kinase
At5g55620	unknown protein
At5g67330	ATNRAMP4 (natural resistance-associated macrophage protein 4)
At5g67370	unknown protein
