gene_id	locusName	Best-hit-arabi-name
Solyc01g004000.1.ITAG4.0	Solyc00g005280	
Solyc01g004002.1.ITAG4.0	Solyc00g006650	
Solyc01g004004.1.ITAG4.0	Solyc00g007330	
Solyc01g004006.1.ITAG4.0	Solyc00g007340	
Solyc01g004008.1.ITAG4.0	Solyc00g007350	
Solyc01g005130.2.ITAG4.0	Solyc00g007450	
Solyc01g005180.1.ITAG4.0	Solyc00g007920	
Solyc01g005253.1.ITAG4.0	Solyc00g007930	
Solyc01g005257.1.ITAG4.0	Solyc00g007940	
Solyc01g005320.2.ITAG4.0	Solyc00g011560	AT5G37930
Solyc01g005420.2.ITAG4.0	Solyc00g011660	AT5G18000
Solyc01g005580.2.ITAG4.0	Solyc00g011670	
Solyc01g005590.2.ITAG4.0	Solyc00g012540	
Solyc01g005710.2.ITAG4.0	Solyc00g013100	
Solyc01g005750.1.ITAG4.0	Solyc00g013110	
Solyc01g005780.1.ITAG4.0	Solyc00g013170	
Solyc01g005783.1.ITAG4.0	Solyc00g013180	
Solyc01g005787.1.ITAG4.0	Solyc00g014290	
Solyc01g005790.1.ITAG4.0	Solyc00g014790	
Solyc01g005860.2.ITAG4.0	Solyc00g014800	
Solyc01g005880.1.ITAG4.0	Solyc00g014810	
Solyc01g005890.1.ITAG4.0	Solyc00g014850	
Solyc01g005900.2.ITAG4.0	Solyc00g014860	
Solyc01g005985.1.ITAG4.0	Solyc00g015600	
Solyc01g006050.2.ITAG4.0	Solyc00g016590	
Solyc01g006055.1.ITAG4.0	Solyc00g019730	
Solyc01g006160.3.ITAG4.0	Solyc00g019750	
Solyc01g006230.3.ITAG4.0	Solyc00g019950	ATMG00070
Solyc01g006270.2.ITAG4.0	Solyc00g019970	
Solyc01g006380.2.ITAG4.0	Solyc00g019980	
Solyc01g006390.2.ITAG4.0	Solyc00g019990	
Solyc01g006530.1.ITAG4.0	Solyc00g020000	
Solyc01g006555.1.ITAG4.0	Solyc00g020010	
Solyc01g006585.1.ITAG4.0	Solyc00g020020	
Solyc01g006640.1.ITAG4.0	Solyc00g020030	
Solyc01g006670.2.ITAG4.0	Solyc00g020040	ATMG00110
Solyc01g006750.2.ITAG4.0	Solyc00g021630	ATMG00270
Solyc01g006820.2.ITAG4.0	Solyc00g021640	ATMG00290
Solyc01g006845.1.ITAG4.0	Solyc00g021650	
Solyc01g006850.1.ITAG4.0	Solyc00g021660	
Solyc01g007010.2.ITAG4.0	Solyc00g022070	
Solyc01g007090.1.ITAG4.0	Solyc00g022080	
Solyc01g007200.2.ITAG4.0	Solyc00g022090	
Solyc01g007263.1.ITAG4.0	Solyc00g022100	
Solyc01g007267.1.ITAG4.0	Solyc00g023570	
Solyc01g007770.2.ITAG4.0	Solyc00g023580	
Solyc01g007810.1.ITAG4.0	Solyc00g023590	
Solyc01g007850.2.ITAG4.0	Solyc00g023600	
Solyc01g007920.2.ITAG4.0	Solyc00g023700	
Solyc01g008040.1.ITAG4.0	Solyc00g023710	
Solyc01g008150.1.ITAG4.0	Solyc00g025290	ATMG00660
Solyc01g008425.1.ITAG4.0	Solyc00g025300	
Solyc01g008450.1.ITAG4.0	Solyc00g025400	
Solyc01g008473.1.ITAG4.0	Solyc00g028960	AT1G03020
Solyc01g008475.1.ITAG4.0	Solyc00g032030	
Solyc01g008477.1.ITAG4.0	Solyc00g036520	
Solyc01g008479.1.ITAG4.0	Solyc00g036530	
Solyc01g008530.3.ITAG4.0	Solyc00g047180	
Solyc01g008550.4.ITAG4.0	Solyc00g047190	
Solyc01g008570.1.ITAG4.0	Solyc00g047200	
Solyc01g008580.1.ITAG4.0	Solyc00g049210	ATMG00830
Solyc01g008590.1.ITAG4.0	Solyc00g049220	
Solyc01g008720.2.ITAG4.0	Solyc00g052430	
Solyc01g008860.1.ITAG4.0	Solyc00g052530	
Solyc01g008870.1.ITAG4.0	Solyc00g052540	
Solyc01g008910.2.ITAG4.0	Solyc00g069880	
Solyc01g008930.4.ITAG4.0	Solyc00g072800	
Solyc01g008940.2.ITAG4.0	Solyc00g076250	
Solyc01g009140.1.ITAG4.0	Solyc00g094520	
Solyc01g009145.1.ITAG4.0	Solyc00g094530	AT2G07785
Solyc01g009160.2.ITAG4.0	Solyc00g094540	
Solyc01g009165.1.ITAG4.0	Solyc00g094550	
Solyc01g009245.1.ITAG4.0	Solyc00g112190	
Solyc01g009260.1.ITAG4.0	Solyc00g118680	
Solyc01g009270.1.ITAG4.0	Solyc00g118690	
Solyc01g009305.1.ITAG4.0	Solyc00g125980	
Solyc01g009330.1.ITAG4.0	Solyc00g125990	AT2G07689
Solyc01g009350.2.ITAG4.0	Solyc00g126000	
Solyc01g009360.1.ITAG4.0	Solyc00g126010	
Solyc01g009443.1.ITAG4.0	Solyc00g142160	
Solyc01g009447.1.ITAG4.0	Solyc00g142170	
Solyc01g009490.1.ITAG4.0	Solyc00g153980	
Solyc01g009505.1.ITAG4.0	Solyc00g164580	
Solyc01g009510.2.ITAG4.0	Solyc00g180440	ATCG00660
Solyc01g009530.1.ITAG4.0	Solyc00g181240	
Solyc01g009540.1.ITAG4.0	Solyc00g181250	
Solyc01g009550.1.ITAG4.0	Solyc00g198360	
Solyc01g009565.1.ITAG4.0	Solyc00g210860	
Solyc01g009650.1.ITAG4.0	Solyc00g230060	
Solyc01g009705.1.ITAG4.0	Solyc00g230070	
Solyc01g009710.1.ITAG4.0	Solyc00g230080	
Solyc01g009735.1.ITAG4.0	Solyc00g244280	
Solyc01g009790.1.ITAG4.0	Solyc00g244290	
Solyc01g009795.1.ITAG4.0	Solyc00g244300	
Solyc01g009880.2.ITAG4.0	Solyc00g254910	
